[2025-04-10 05:40:45,218: INFO: main: Initializing Kidney Disease Project]
[2025-04-10 18:52:52,062: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-04-10 18:52:52,065: INFO: common: yaml file: params.yaml loaded successfully]
[2025-04-10 18:52:52,067: INFO: common: created directory at: artifacts]
[2025-04-10 18:52:52,069: INFO: common: created directory at: artifacts/data_ingestion]
[2025-04-10 18:52:58,366: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-04-10 18:52:58,368: INFO: common: yaml file: params.yaml loaded successfully]
[2025-04-10 18:52:58,371: INFO: common: created directory at: artifacts]
[2025-04-10 18:52:58,372: INFO: common: created directory at: artifacts/data_ingestion]
[2025-04-10 18:55:27,866: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-04-10 18:55:27,869: INFO: common: yaml file: params.yaml loaded successfully]
[2025-04-10 18:55:27,871: INFO: common: created directory at: artifacts]
[2025-04-10 18:55:27,874: INFO: common: created directory at: artifacts/data_ingestion]
[2025-04-10 18:55:45,427: INFO: 1160271953: Downloaded data from https://drive.google.com/file/d/1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3/view?usp=sharing to artifacts/data_ingestion/data.zip]
[2025-04-10 20:55:30,193: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-04-10 20:55:30,199: INFO: common: yaml file: params.yaml loaded successfully]
[2025-04-10 20:55:30,200: INFO: common: created directory at: artifacts]
[2025-04-10 20:55:30,206: INFO: common: created directory at: artifacts/prepare_base_model]
[2025-04-10 20:56:23,685: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-04-10 20:56:23,685: INFO: common: yaml file: params.yaml loaded successfully]
[2025-04-10 20:56:23,696: INFO: common: created directory at: artifacts]
[2025-04-10 20:56:23,699: INFO: common: created directory at: artifacts/prepare_base_model]
[2025-04-10 22:14:42,855: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-04-10 22:14:42,862: INFO: common: yaml file: params.yaml loaded successfully]
[2025-04-10 22:14:42,862: INFO: common: created directory at: artifacts]
